Kota,IND1,Weight1,IND2,Weight2,IND3,Weight3,IND4,Weight4,IND5,Weight5,IND6,Weight6,IND7,Weight7,IND8,Weight8,Skor Akhir
Singkawang,6.5,0.65,7.0,1.4,6.5,1.3,6.0,0.6,6.0,0.6,7.0,1.05,6.0,0.3,6.0,0.6,6.5
Bekasi,6.0,0.6,6.55,1.31,7.0,1.4,6.0,0.6,6.0,0.6,7.0,1.05,6.0,0.3,6.0,0.6,6.46
Salatiga,6.5,0.65,7.0,1.4,6.5,1.3,6.0,0.6,6.0,0.6,7.0,1.05,5.0,0.25,6.0,0.6,6.45
Manado,6.0,0.6,7.0,1.4,7.0,1.4,6.0,0.6,6.0,0.6,6.0,0.9,6.0,0.3,6.0,0.6,6.4
Semarang,6.0,0.6,6.9,1.38,6.5,1.3,6.0,0.6,6.0,0.6,6.0,0.9,5.0,0.25,6.0,0.6,6.23
Magelang,6.0,0.6,6.85,1.37,7.0,1.4,5.0,0.5,6.0,0.6,6.0,0.9,5.0,0.25,6.0,0.6,6.22
Kediri,5.83,0.583,6.7,1.34,7.0,1.4,5.0,0.5,6.0,0.6,6.0,0.9,5.0,0.25,5.0,0.5,6.073
Sukabumi,5.17,0.517,6.65,1.33,6.5,1.3,5.0,0.5,6.0,0.6,6.0,0.9,5.0,0.25,6.0,0.6,5.997
Kupang,5.33,0.533,6.85,1.37,7.0,1.4,6.0,0.6,5.0,0.5,5.0,0.75,6.0,0.3,5.0,0.5,5.953
Surakarta,5.5,0.55,7.0,1.4,6.0,1.2,5.0,0.5,5.0,0.5,5.0,0.75,6.0,0.3,6.0,0.6,5.8
Pematang Siantar,4.5,0.45,7.0,1.4,6.5,1.3,4.0,0.4,5.0,0.5,6.0,0.9,6.0,0.3,5.0,0.5,5.75
Bogor,4.5,0.45,5.4,1.08,6.5,1.3,6.0,0.6,6.0,0.6,7.0,1.05,5.0,0.25,4.0,0.4,5.73
Banjarmasin,4.83,0.483,5.65,1.13,6.5,1.3,6.0,0.6,6.0,0.6,6.0,0.9,4.0,0.2,4.0,0.4,5.613
Ambon,4.5,0.45,7.0,1.4,7.0,1.4,5.0,0.5,5.0,0.5,4.0,0.6,5.0,0.25,5.0,0.5,5.6
Bandung,5.17,0.517,6.65,1.33,6.0,1.2,5.0,0.5,5.0,0.5,5.0,0.75,5.0,0.25,5.0,0.5,5.547
Surabaya,4.83,0.483,5.55,1.11,5.5,1.1,6.0,0.6,5.0,0.5,6.0,0.9,5.0,0.25,6.0,0.6,5.543
Tomohon,5.0,0.5,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,5.0,0.75,4.0,0.2,5.0,0.5,5.45
Pontianak,4.0,0.4,7.0,1.4,7.0,1.4,5.0,0.5,5.0,0.5,4.0,0.6,5.0,0.25,4.0,0.4,5.45
Yogyakarta,3.83,0.383,7.0,1.4,7.0,1.4,4.0,0.4,4.0,0.4,6.0,0.9,3.0,0.15,4.0,0.4,5.433
Malang,4.5,0.45,5.6,1.12,6.0,1.2,5.0,0.5,6.0,0.6,5.0,0.75,5.0,0.25,5.0,0.5,5.37
Madiun,3.83,0.383,6.85,1.37,7.0,1.4,4.0,0.4,5.0,0.5,4.0,0.6,4.0,0.2,5.0,0.5,5.353
Batu,5.0,0.5,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,4.0,0.2,5.0,0.5,5.3
Jayapura,4.83,0.483,7.0,1.4,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,4.0,0.2,4.0,0.4,5.283
Probolinggo,4.67,0.467,7.0,1.4,7.0,1.4,4.0,0.4,5.0,0.5,4.0,0.6,2.0,0.1,4.0,0.4,5.267
Cimahi,4.67,0.467,6.7,1.34,7.0,1.4,3.0,0.3,4.0,0.4,5.0,0.75,4.0,0.2,4.0,0.4,5.257
Denpasar,4.33,0.433,7.0,1.4,6.0,1.2,3.0,0.3,4.0,0.4,5.0,0.75,5.0,0.25,5.0,0.5,5.233
Palu,4.17,0.417,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,5.0,0.75,3.0,0.15,4.0,0.4,5.217
Batam,4.0,0.4,6.7,1.34,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,5.0,0.25,5.0,0.5,5.19
Tegal,5.17,0.517,6.85,1.37,6.5,1.3,4.0,0.4,5.0,0.5,4.0,0.6,2.0,0.1,4.0,0.4,5.187
Sorong,4.33,0.433,7.0,1.4,7.0,1.4,4.0,0.4,4.0,0.4,3.0,0.45,4.0,0.2,5.0,0.5,5.183
Sibolga,4.33,0.433,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,5.0,0.75,4.0,0.2,3.0,0.3,5.183
Tanjung Pinang,5.83,0.583,6.5,1.3,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,4.0,0.2,3.0,0.3,5.183
Palangkaraya,4.5,0.45,6.85,1.37,6.5,1.3,4.0,0.4,4.0,0.4,4.0,0.6,5.0,0.25,4.0,0.4,5.17
Samarinda,3.5,0.35,6.35,1.27,6.5,1.3,4.0,0.4,5.0,0.5,5.0,0.75,4.0,0.2,4.0,0.4,5.17
Kendari,2.67,0.267,7.0,1.4,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,4.0,0.2,5.0,0.5,5.167
Bitung,4.5,0.45,7.0,1.4,7.0,1.4,4.0,0.4,4.0,0.4,3.0,0.45,5.0,0.25,4.0,0.4,5.15
Tangerang,3.5,0.35,6.45,1.29,6.5,1.3,4.0,0.4,5.0,0.5,5.0,0.75,3.0,0.15,4.0,0.4,5.14
Pangkal Pinang,4.33,0.433,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,4.0,0.2,4.0,0.4,5.133
Mojokerto,4.33,0.433,7.0,1.4,7.0,1.4,3.0,0.3,3.0,0.3,5.0,0.75,3.0,0.15,4.0,0.4,5.133
Tarakan,4.17,0.417,6.2,1.24,6.5,1.3,5.0,0.5,5.0,0.5,5.0,0.75,4.0,0.2,2.0,0.2,5.107
Tual,4.0,0.4,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,4.0,0.2,4.0,0.4,5.1
Pare Pare,4.0,0.4,7.0,1.4,6.5,1.3,4.0,0.4,4.0,0.4,5.0,0.75,3.0,0.15,3.0,0.3,5.1
Binjai,3.83,0.383,7.0,1.4,6.5,1.3,4.0,0.4,3.0,0.3,5.0,0.75,3.0,0.15,4.0,0.4,5.083
Kotamobagu,4.0,0.4,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,3.0,0.15,4.0,0.4,5.05
Gunung sitoli,3.83,0.383,6.5,1.3,6.5,1.3,4.0,0.4,5.0,0.5,5.0,0.75,4.0,0.2,2.0,0.2,5.033
Cirebon,5.33,0.533,6.7,1.34,6.0,1.2,4.0,0.4,3.0,0.3,3.0,0.45,4.0,0.2,6.0,0.6,5.023
Tangerang Selatan,4.0,0.4,6.6,1.32,6.5,1.3,4.0,0.4,4.0,0.4,5.0,0.75,3.0,0.15,3.0,0.3,5.02
Solok,4.5,0.45,6.55,1.31,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,3.0,0.15,3.0,0.3,5.01
Bengkulu,4.33,0.433,6.85,1.37,7.0,1.4,3.0,0.3,3.0,0.3,5.0,0.75,3.0,0.15,3.0,0.3,5.003
Sawahlunto,3.5,0.35,6.4,1.28,7.0,1.4,4.0,0.4,5.0,0.5,4.0,0.6,3.0,0.15,3.0,0.3,4.98
Langsa,2.83,0.283,6.4,1.28,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,4.0,0.2,4.0,0.4,4.963
Bukittinggi,4.0,0.4,5.95,1.19,7.0,1.4,5.0,0.5,4.0,0.4,4.0,0.6,3.0,0.15,3.0,0.3,4.94
Bontang,4.33,0.433,7.0,1.4,6.5,1.3,3.0,0.3,3.0,0.3,4.0,0.6,4.0,0.2,4.0,0.4,4.933
Gorontalo,4.0,0.4,6.9,1.38,6.5,1.3,2.0,0.2,3.0,0.3,5.0,0.75,4.0,0.2,4.0,0.4,4.93
Serang,4.0,0.4,6.15,1.23,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,2.0,0.1,4.0,0.4,4.93
Tanjung Balai,3.83,0.383,6.85,1.37,7.0,1.4,4.0,0.4,4.0,0.4,4.0,0.6,3.0,0.15,2.0,0.2,4.903
Banjar,3.83,0.383,6.8,1.36,7.0,1.4,4.0,0.4,5.0,0.5,2.0,0.3,3.0,0.15,4.0,0.4,4.893
Ternate,5.17,0.517,6.35,1.27,6.5,1.3,3.0,0.3,5.0,0.5,4.0,0.6,2.0,0.1,3.0,0.3,4.887
Tebing Tinggi,5.0,0.5,7.0,1.4,7.0,1.4,3.0,0.3,3.0,0.3,4.0,0.6,3.0,0.15,2.0,0.2,4.85
Jambi,4.5,0.45,6.9,1.38,6.0,1.2,4.0,0.4,4.0,0.4,4.0,0.6,4.0,0.2,2.0,0.2,4.83
Tasikmalaya,5.0,0.5,6.6,1.32,6.5,1.3,3.0,0.3,4.0,0.4,4.0,0.6,2.0,0.1,3.0,0.3,4.82
Makassar,5.17,0.517,4.6,0.92,4.5,0.9,5.0,0.5,5.0,0.5,5.0,0.75,4.0,0.2,5.0,0.5,4.787
Pasuruan,3.33,0.333,6.7,1.34,7.0,1.4,3.0,0.3,4.0,0.4,4.0,0.6,2.0,0.1,3.0,0.3,4.773
Palopo,3.33,0.333,7.0,1.4,6.5,1.3,3.0,0.3,3.0,0.3,3.0,0.45,3.0,0.15,5.0,0.5,4.733
Metro,3.0,0.3,7.0,1.4,7.0,1.4,3.0,0.3,3.0,0.3,3.0,0.45,3.0,0.15,4.0,0.4,4.7
Blitar,4.17,0.417,6.9,1.38,6.0,1.2,2.0,0.2,3.0,0.3,4.0,0.6,4.0,0.2,4.0,0.4,4.697
Lubuk Linggau,4.17,0.417,6.6,1.32,7.0,1.4,2.0,0.2,3.0,0.3,3.0,0.45,2.0,0.1,5.0,0.5,4.687
DKI Jakarta,5.5,0.55,6.4,1.28,3.5,0.7,4.0,0.4,4.0,0.4,4.0,0.6,5.0,0.25,5.0,0.5,4.68
Padang Panjang,3.17,0.317,6.7,1.34,7.0,1.4,3.0,0.3,4.0,0.4,3.0,0.45,3.0,0.15,3.0,0.3,4.657
Dumai,4.0,0.4,7.0,1.4,6.5,1.3,3.0,0.3,2.0,0.2,3.0,0.45,4.0,0.2,4.0,0.4,4.65
Prabumuli,2.0,0.2,6.55,1.31,7.0,1.4,3.0,0.3,5.0,0.5,3.0,0.45,3.0,0.15,3.0,0.3,4.61
Payakumbuh,3.67,0.367,6.45,1.29,6.0,1.2,3.0,0.3,4.0,0.4,4.0,0.6,3.0,0.15,3.0,0.3,4.607
Medan,4.17,0.417,6.1,1.22,3.5,0.7,5.0,0.5,4.0,0.4,5.0,0.75,4.0,0.2,4.0,0.4,4.587
Bima,3.83,0.383,7.0,1.4,7.0,1.4,2.0,0.2,2.0,0.2,3.0,0.45,3.0,0.15,4.0,0.4,4.583
Bau Bau,3.0,0.3,6.9,1.38,7.0,1.4,1.0,0.1,3.0,0.3,4.0,0.6,4.0,0.2,3.0,0.3,4.58
Banjarbaru,4.33,0.433,6.45,1.29,6.5,1.3,3.0,0.3,5.0,0.5,2.0,0.3,3.0,0.15,3.0,0.3,4.573
Tidore Kepulauan,4.0,0.4,6.85,1.37,6.5,1.3,3.0,0.3,3.0,0.3,3.0,0.45,3.0,0.15,3.0,0.3,4.57
Sungai Penuh,4.0,0.4,6.75,1.35,7.0,1.4,3.0,0.3,3.0,0.3,3.0,0.45,3.0,0.15,2.0,0.2,4.55
Pariaman,2.0,0.2,7.0,1.4,7.0,1.4,3.0,0.3,4.0,0.4,3.0,0.45,2.0,0.1,3.0,0.3,4.55
Balikpapan,3.67,0.367,6.6,1.32,7.0,1.4,4.0,0.4,4.0,0.4,2.0,0.3,3.0,0.15,2.0,0.2,4.537
Pagar Alam,3.33,0.333,7.0,1.4,7.0,1.4,3.0,0.3,2.0,0.2,3.0,0.45,3.0,0.15,3.0,0.3,4.533
Padangsidimpuan,3.0,0.3,7.0,1.4,7.0,1.4,2.0,0.2,3.0,0.3,3.0,0.45,3.0,0.15,3.0,0.3,4.5
Subulussalam,3.0,0.3,6.7,1.34,7.0,1.4,3.0,0.3,4.0,0.4,3.0,0.45,2.0,0.1,2.0,0.2,4.49
Pekalongan,3.17,0.317,7.0,1.4,4.0,0.8,3.0,0.3,5.0,0.5,4.0,0.6,3.0,0.15,4.0,0.4,4.467
Sabang,3.67,0.367,6.7,1.34,7.0,1.4,2.0,0.2,3.0,0.3,3.0,0.45,2.0,0.1,3.0,0.3,4.457
Bandar Lampung,3.0,0.3,6.25,1.25,5.0,1.0,3.0,0.3,4.0,0.4,4.0,0.6,4.0,0.2,4.0,0.4,4.45
Palembang,3.33,0.333,6.75,1.35,5.5,1.1,3.0,0.3,3.0,0.3,3.0,0.45,4.0,0.2,4.0,0.4,4.433
Pekanbaru,3.5,0.35,6.35,1.27,5.0,1.0,3.0,0.3,4.0,0.4,4.0,0.6,4.0,0.2,3.0,0.3,4.42
Mataram,3.67,0.367,5.85,1.17,5.5,1.1,3.0,0.3,4.0,0.4,4.0,0.6,3.0,0.15,3.0,0.3,4.387
Lhokseumawe,3.67,0.367,5.55,1.11,7.0,1.4,3.0,0.3,3.0,0.3,3.0,0.45,3.0,0.15,3.0,0.3,4.377
Padang,3.67,0.367,4.9,0.98,5.0,1.0,5.0,0.5,4.0,0.4,3.0,0.45,4.0,0.2,4.0,0.4,4.297
